,et,p,t
157,0.003228378,0.0014887846,16.705135
158,0.0036449295,0.0026932764,18.77656
159,0.0034834542,0.013475582,17.959583
160,0.0028042619,0.0,14.255841
161,0.0036753733,0.0,18.86047
162,0.0029413572,0.0003671722,15.014145
163,0.00289888,0.0,14.776154
164,0.003801179,0.00019248272,19.400387
165,0.0038991105,0.0,19.829859
166,0.002568622,0.0008509798,12.704878
167,0.0024796536,0.0013956178,12.120249
168,0.002374915,0.004453429,11.397989
169,0.00225069,0.0006786029,10.506498
170,0.0023119075,0.0061247502,10.943277
171,0.002349921,0.0025261326,11.216208
172,0.0026998578,0.0,13.525543
173,0.0030183417,0.0008007659,15.405591
174,0.0029744278,0.00048628653,15.160376
175,0.0030969023,0.0019817562,15.846552
176,0.0034039454,8.5066145e-05,17.463924
177,0.0037198525,0.0,18.999676
178,0.003855861,0.0037776672,19.620895
179,0.002544005,0.0032381993,12.564249
180,0.0024656632,0.0015981685,12.066135
181,0.0026902067,0.0,14.671255
182,0.003533076,0.0034231697,19.341599
183,0.0026952,0.00873794,14.733435
184,0.0027439776,0.0,15.05777
185,0.0029564851,0.0,16.344921
186,0.0030648452,0.005564607,16.981043
187,0.0033027711,0.0,18.292057
188,0.003678434,0.0,20.187405
189,0.0039273133,0.0,21.361872
190,0.0038714358,0.00083831593,21.138653
191,0.0034855679,0.014075483,19.3224
192,0.0030878366,0.00063389866,17.262716
193,0.0028551247,0.0049068984,15.958844
194,0.0028476887,0.0013385622,15.946142
195,0.0028311587,0.0012575053,15.879694
196,0.003005404,0.0027863258,16.935785
197,0.0024817374,0.0044547166,13.724695
198,0.0023472218,0.0050831307,12.828659
199,0.002273908,0.0035847295,12.334051
200,0.0025109549,0.004198973,14.036072
201,0.0027048194,0.004447671,15.335785
202,0.0030579772,0.0016273201,17.470316
203,0.002871244,0.013055245,16.434408
204,0.0026529734,0.0001859904,15.13324
205,0.0023049314,0.00995811,12.814194
206,0.0023969111,0.0037344093,13.516431
207,0.002602115,0.00074365706,14.949194
208,0.002651073,0.00010414999,15.315091
209,0.00290866,0.00045918915,16.946198
210,0.0028161774,0.0,16.425793
211,0.0036727723,0.0,21.100286
212,0.003614073,0.0061436538,20.814442
213,0.003421594,0.010792526,19.905102
214,0.003437338,0.004025401,20.043127
215,0.003515882,0.0005360797,20.5023
216,0.0036310195,0.0,21.129105
217,0.0036975753,0.0,21.510534
218,0.0036111276,0.006345977,21.15849
219,0.0033929492,0.0056283837,20.122742
220,0.0029862393,0.0223892,17.95774
221,0.002732645,0.02088611,16.488325
222,0.0028199635,0.0052329907,17.091137
223,0.0028343112,0.0,17.243828
224,0.0028720002,0.0,17.537228
225,0.0033166744,0.0,20.111706
226,0.0033718522,0.0,20.468685
227,0.0025485628,0.00021790285,15.665843
228,0.0021391395,0.0,12.77517
229,0.002233699,0.0,13.572258
230,0.0027195297,0.0,16.99275
231,0.0022357625,0.0061101685,13.707594
232,0.0020176708,0.00068362255,12.063229
233,0.0021976575,0.00337774,13.56801
234,0.0019909272,0.0038658842,11.976248
235,0.0020579067,0.000660476,12.604366
236,0.0022798516,0.0,14.408198
237,0.0022457498,0.002435557,14.2222185
238,0.0021777349,0.0043260325,13.769432
239,0.0020963172,0.00019641314,13.202843
240,0.0021414075,0.00012587891,13.633748
241,0.00213532,0.0,13.661565
242,0.002157519,0.0,13.902028
243,0.0019733026,0.00012382264,13.3400955
244,0.0019647304,0.0,13.339717
245,0.0018287671,0.0,12.205678
246,0.001839204,0.0,12.380455
247,0.0018849252,0.0,12.87311
248,0.0020245407,0.0,14.160112
249,0.002297278,0.0,16.399721
250,0.0026770118,0.0,19.150684
251,0.0021957648,0.0054477532,15.797984
252,0.0023007193,8.692444e-05,16.679419
253,0.0022643222,0.0021235368,16.484331
254,0.0022381323,0.005569838,16.376364
255,0.0017895108,0.0,12.636778
256,0.0015156006,0.002940655,9.921483
257,0.001692961,0.0017865114,11.848463
258,0.0018373437,0.0021232816,13.32371
259,0.001813278,0.0,13.18178
260,0.0021849365,0.004229103,16.464994
261,0.00194121,0.005996811,14.515398
262,0.002253255,0.0022117975,17.165533
263,0.0023889714,0.0,18.28771
264,0.0023486482,0.0058069243,18.08302
265,0.0016426485,0.00034074212,12.023485
266,0.0018548438,0.0,14.18239
267,0.0017636942,0.0,13.395744
268,0.002142143,0.0005752418,16.832455
269,0.0015110031,0.0026692492,10.946688
270,0.0015795764,0.015731918,11.80085
271,0.0014030153,0.004265892,9.884768
272,0.001348662,0.0,9.31707
273,0.0013172508,0.0,13.161125
274,0.0012767737,0.0025225277,12.723475
275,0.0011874491,0.007251306,11.568248
276,0.0011681959,0.00023544901,11.404081
277,0.0012219695,0.004973593,12.258235
278,0.0015227832,0.0,16.121157
279,0.0011156315,0.0,10.890437
280,0.0010816387,0.0,10.465556
281,0.0013085259,0.0050656744,13.784871
282,0.0010470398,0.013290596,10.092082
283,0.00085983734,0.005354209,6.8836794
284,0.0007605525,0.0047349553,4.927753
285,0.00074072334,0.0,4.5750523
286,0.0007817449,0.00267085,5.5641146
287,0.0008019077,0.021685647,6.055155
288,0.000758328,0.0,5.2232366
289,0.0011188315,0.0,11.863075
