,et,p,t
155,0.0028325815,0.0,14.123945
156,0.003060998,0.0012170153,15.406912
157,0.003316072,0.0001563962,16.766127
158,0.0035398318,0.005613427,17.750061
159,0.003342078,0.01572565,16.893967
160,0.0028178992,0.00033415662,14.0147505
161,0.0037114946,0.0,18.661678
162,0.0034440667,0.00018689246,17.394321
163,0.0029823657,0.0,14.934774
164,0.0037717265,0.0,18.911373
165,0.0039980942,0.0,19.927889
166,0.0028045678,0.0006990954,13.901406
167,0.0022562747,0.0020790505,10.194299
168,0.0020570264,0.0028645115,8.606976
169,0.0021250795,0.0002386206,9.171541
170,0.0023560715,0.0042775455,10.897152
171,0.0021007524,0.007164019,8.938318
172,0.0022781338,0.0015175684,10.181194
173,0.0027147746,0.00022808688,13.207747
174,0.0027019267,0.005143741,13.116591
175,0.0028344465,0.007155372,13.874222
176,0.002864283,0.0057388917,14.105956
177,0.0031920488,0.0020136207,15.9566555
178,0.0030353277,0.014205536,15.114024
179,0.0022692094,0.0020684877,10.335229
180,0.0023277125,0.0,10.743391
181,0.002808051,0.0,14.966414
182,0.0034178796,0.0032656533,18.215832
183,0.0024208673,0.013122033,12.392378
184,0.002552374,3.2598702e-05,13.29033
185,0.0029177843,0.0,15.554613
186,0.003019609,0.0013011156,16.171497
187,0.0031361096,0.0,16.86605
188,0.0035675135,0.0041278983,18.975506
189,0.0034936813,0.0070090103,18.51714
190,0.0032320751,0.010044626,17.340504
191,0.0029498162,0.011341142,15.867258
192,0.0028700354,0.0016511426,15.513187
193,0.0027778053,0.0056812754,14.991752
194,0.0028510788,0.00013155922,15.408701
195,0.0028652856,3.2164924e-05,15.604914
196,0.0028924851,0.001866464,15.729838
197,0.0025115698,0.0290275,13.452867
198,0.0021265594,0.017934227,10.578389
199,0.001981977,0.0065327105,9.350754
200,0.0023952115,0.01439761,12.593194
201,0.002672944,0.00425059,14.53679
202,0.0030037551,0.008160003,16.564472
203,0.002562604,0.024116287,13.902027
204,0.0023059603,0.010700898,12.158992
205,0.002034465,0.006675977,10.12079
206,0.0021510818,0.0021829696,11.053549
207,0.0023628129,0.005239623,12.6446085
208,0.0024614595,0.0,13.424056
209,0.003052942,0.0,17.215014
210,0.0034186938,0.0,19.236902
211,0.004104745,0.0,22.403992
212,0.0037426848,0.00013315027,20.298702
213,0.0036562367,0.0024858827,19.977657
214,0.003748598,0.00024806403,20.473766
215,0.0037429568,0.0013473036,20.475687
216,0.0038235905,0.0017443597,20.769205
217,0.0035615629,0.00761836,19.524464
218,0.0032673748,0.010734991,18.17289
219,0.003117621,0.013666164,17.446575
220,0.0028289882,0.010997798,15.920638
221,0.0025808592,0.005842181,14.339052
222,0.0027301274,0.0037141624,15.377291
223,0.0027625994,0.00034080877,15.630712
224,0.0028799165,0.0,16.438002
225,0.003282239,0.0,18.713749
226,0.0035275067,0.0,20.074368
227,0.002978345,0.0055743204,17.239634
228,0.0022303646,0.0,12.403771
229,0.0024866923,0.0,14.283297
230,0.002829692,0.0,16.537186
231,0.0025182134,0.008301932,14.630844
232,0.0020156237,0.0006119245,10.891677
233,0.0023419568,0.0009824341,13.455678
234,0.0020134326,0.0014056538,11.000594
235,0.0020351582,1.7361283e-05,11.180726
236,0.0021091467,0.0,11.877644
237,0.0023688145,0.0,13.931772
238,0.0023663705,6.701926e-05,13.977512
239,0.0022745407,5.9664035e-05,13.372587
240,0.0024886765,0.0,15.019392
241,0.0024636774,0.0,14.941156
242,0.0027418216,0.0,16.789167
243,0.0019924564,0.010681276,14.447981
244,0.001894739,0.0057248315,13.632583
245,0.0017319119,0.0027179895,12.183821
246,0.0016958243,0.00070563116,11.889083
247,0.0019049228,0.00017721533,13.947886
248,0.0020079617,0.0,14.939297
249,0.0022984568,0.0,17.27319
250,0.0024206834,0.0,18.26872
251,0.0019161584,0.008502157,14.372095
252,0.0019342919,0.008691257,14.4610405
253,0.0019946774,0.0033935122,15.10118
254,0.0019258985,0.017460825,14.643572
255,0.0015559226,0.009009039,11.08541
256,0.001432468,0.0012630427,9.765543
257,0.0015749852,0.009434279,11.403156
258,0.00174453,0.0021705679,13.240525
259,0.0016582496,0.0,12.5229
260,0.0020222159,0.013480861,15.898658
261,0.0018114396,0.00826295,14.050355
262,0.0021674538,0.00011761791,17.1861
263,0.0020787918,0.0,16.597628
264,0.00198412,0.017324764,15.863948
265,0.0014740705,0.005799693,10.974306
266,0.001579609,0.0044797286,12.21985
267,0.001663784,6.758063e-05,13.124305
268,0.001803397,0.020728659,14.504272
269,0.0012669065,0.009611781,8.799127
270,0.0012786274,0.020575963,8.908446
271,0.0011707478,0.0022591879,7.497213
272,0.0012070058,0.0,8.236289
273,0.0013262065,8.493805e-05,11.893492
274,0.0011555302,0.0083962325,9.681178
275,0.0012085449,0.011015157,10.500133
276,0.001329672,0.0039065653,12.171166
277,0.0014345988,0.0024732414,13.546498
278,0.0016081831,0.0013908291,15.59469
279,0.0011936559,0.00012081092,10.5946
280,0.0011923906,0.0,10.651157
281,0.0013566756,0.0054944013,12.956284
282,0.0011974435,0.024805836,10.911526
283,0.0008863452,0.0034085338,5.9549456
284,0.00088210136,0.01424191,5.942912
285,0.0007646065,0.00019181824,3.6527011
286,0.00092623435,0.025623195,6.9041266
287,0.0011229318,0.010584935,10.229574
288,0.0009893876,0.0,8.177495
289,0.0012987602,0.00013069187,12.866461
290,0.0012023528,0.005380594,11.653249
291,0.001027375,0.0,9.081129
292,0.0010303474,0.006823462,9.1816
293,0.0007453722,0.0072389278,3.8796155
294,0.0006785076,0.0031726,2.4298265
295,0.00063660997,0.0040446413,1.5042237
296,0.0006263269,0.0,1.2795768
297,0.0007076102,0.0058364305,3.32819
298,0.00067076366,0.012373651,2.5597153
299,0.0006390987,0.0035016425,1.8655493
300,0.0006543197,0.0011454769,2.2200112
301,0.0007916287,0.005566759,5.359398
302,0.00085276866,0.017234456,6.7754927
303,0.0009828808,0.0035157972,9.288097
304,0.0010964691,0.00026028123,11.043305
305,0.001006025,0.0,9.669735
306,0.0009281244,0.0,8.407032
307,0.0009979495,0.0,9.6977625
308,0.000865131,0.0004785185,7.3139057
309,0.0006452578,0.0021597417,2.6569133
310,0.0005224632,0.00030022662,-0.5358323
311,0.00048316922,0.0,-1.6413985
312,0.0004629541,0.0,-2.2324324
313,0.00046012973,0.0,-2.2974572
314,0.00058181945,0.0011079601,1.3120365
315,0.0006622729,0.0013938266,3.431351
316,0.00066676055,0.0026669311,3.5934944
317,0.0005735743,0.0032290446,1.3180084
318,0.00044978224,0.0,-2.4936955
319,0.00042921025,0.0,-3.2694066
320,0.00064268796,0.0005185352,3.2272623
321,0.0007121212,0.0,4.977682
322,0.00078450976,0.0012446721,6.69845
323,0.0007895698,0.0,6.834341
324,0.00078724197,0.0,6.8767385
325,0.0007684585,0.0,6.5040407
326,0.0007871299,0.0019021659,7.002612
327,0.00062966935,0.00090554485,3.288801
328,0.00047838828,2.6861024e-05,-0.86860174
329,0.00051319716,0.0,0.24863258
330,0.0006559929,0.01669874,4.1807346
331,0.00050970423,0.012513578,0.23452884
332,0.0005152534,0.011490227,0.47722447
333,0.0005565212,0.031989083,1.7288443
334,0.00047521558,0.005497447,-0.5892918
335,0.00047480682,0.0015022344,-0.6153514
336,0.00042015925,0.00184928,-2.4456651
337,0.00050063164,0.009939672,0.28674474
338,0.00041923972,0.0015985337,-2.437998
339,0.00046289683,0.0071645305,-0.8643278
340,0.00055435265,0.012401934,1.9372773
341,0.0005580456,0.014851621,2.0597267
342,0.0004964081,0.0045676115,0.13717459
343,0.0005325251,0.006524862,1.2434545
344,0.00064069463,0.019292334,4.1528163
345,0.00044305038,0.0008360086,-1.6293882
346,0.000406743,0.012558739,-2.8583286
347,0.00053603936,0.012043314,1.6160915
348,0.00055906124,0.029068997,2.1239302
349,0.0005203205,0.0100237215,0.48790964
350,0.0004903776,0.007708552,-0.033924587
351,0.00047740893,0.019571884,-0.45004943
352,0.00027478277,0.00016363547,-9.460375
353,0.00028613553,0.00029224707,-8.688929
354,0.00041401404,0.00475935,-2.3727975
355,0.00044233893,0.00073036616,-1.326662
356,0.0004680006,0.0043537,-0.49290434
357,0.00048931094,0.008344122,0.22767684
358,0.00040620755,0.0021941033,-2.6791189
359,0.0003137111,0.0,-6.85199
360,0.0003307725,0.00022593302,-6.3091607
361,0.0004299239,0.0032148557,-2.0267308
362,0.0005163491,0.0014817999,0.9108645
363,0.00063989335,0.01430265,4.308667
364,0.0006859675,0.0017103313,5.2175837
365,0.0004280889,0.0039605913,2.4361575
366,0.00038197864,8.9848036e-05,1.2124997
367,0.00039315407,0.0,1.6873932
368,0.00040115172,0.00435906,2.4233668
369,0.00043932445,0.018863551,3.5837169
370,0.00032970725,0.008634317,-2.741049
371,0.00022049334,0.005470554,-8.361497
372,0.0003006211,0.022718506,-3.7772498
373,0.00035705668,0.018099561,-1.5912454
374,0.00039359072,0.009618163,-0.4199524
375,0.00039273652,0.004105751,0.068673916
376,0.00036046232,0.0,-2.9071302
377,0.00031311938,0.0,-4.9079776
378,0.00030673228,0.0,-5.500738
379,0.0003108943,0.0,-4.1785336
380,0.00031782963,0.0,-3.7259755
381,0.00029915303,0.0,-4.1200833
382,0.0003091396,0.0,-3.2320075
