"datetime","obs","pcr","res"
1981-05-22,121,324.33472,-203.33472
1981-05-23,151,425.48846,-274.48846
1981-05-24,142,408.32037,-266.32037
1981-05-25,128,367.44244,-239.44244
1981-05-26,135,382.1414,-247.1414
1981-05-27,146,342.35492,-196.35492
1981-05-28,150,354.86392,-204.86392
1981-05-29,117,406.95798,-289.95798
1981-05-30,132,359.6955,-227.6955
1981-05-31,166,350.44916,-184.44916
1981-06-01,163,326.2717,-163.2717
1981-06-02,147,441.52588,-294.52588
1981-06-03,129,509.2004,-380.2004
1981-06-04,401,535.88947,-134.88947
1981-06-05,612,431.00723,180.99277
1981-06-06,443,368.58536,74.41464
1981-06-07,426,364.47128,61.52872
1981-06-08,305,308.4872,-3.48719999999997
1981-06-09,302,307.65704,-5.65703999999999
1981-06-10,268,312.62524,-44.62524
1981-06-11,172,307.9966,-135.9966
1981-06-12,155,304.5345,-149.5345
1981-06-13,154,311.23605,-157.23605
1981-06-14,163,289.65372,-126.65372
1981-06-15,160,289.65372,-129.65372
1981-06-16,143,289.65372,-146.65372
1981-06-17,159,335.66028,-176.66028
1981-06-18,108,333.10938,-225.10938
1981-06-19,109,301.62518,-192.62518
1981-06-20,122,289.70908,-167.70908
1981-06-21,109,289.70908,-180.70908
1981-06-22,116,289.70908,-173.70908
1981-06-23,98,289.70908,-191.70908
1981-06-24,81,289.70908,-208.70908
1981-06-25,70,392.82452,-322.82452
1981-06-26,119,571.1904,-452.1904
1981-06-27,113,582.79407,-469.79407
1981-06-28,138,876.5915,-738.5915
1981-06-29,555,962.9276,-407.9276
1981-06-30,659,541.71643,117.28357
1981-07-01,393,434.49722,-41.49722
1981-07-02,303,415.77612,-112.77612
1981-07-03,273,417.34903,-144.34903
1981-07-04,337,339.46826,-2.46825999999999
1981-07-05,247,335.38083,-88.38083
1981-07-06,213,292.1564,-79.1564
1981-07-07,151,301.79816,-150.79816
1981-07-08,169,291.18094,-122.18094
1981-07-09,123,291.18094,-168.18094
1981-07-10,184,291.18094,-107.18094
1981-07-11,158,291.18094,-133.18094
1981-07-12,158,291.18094,-133.18094
1981-07-13,137,291.18094,-154.18094
1981-07-14,122,291.18094,-169.18094
1981-07-15,105,291.18094,-186.18094
1981-07-16,113,313.89963,-200.89963
1981-07-17,108,331.42584,-223.42584
1981-07-18,111,314.06842,-203.06842
1981-07-19,101,299.64624,-198.64624
1981-07-20,112,291.2326,-179.2326
1981-07-21,98,291.2326,-193.2326
1981-07-22,112,291.2326,-179.2326
1981-07-23,155,291.2326,-136.2326
1981-07-24,146,291.2326,-145.2326
1981-07-25,159,291.2326,-132.2326
1981-07-26,165,291.2326,-126.2326
1981-07-27,113,291.2326,-178.2326
1981-07-28,122,291.2326,-169.2326
1981-07-29,135,291.2326,-156.2326
1981-07-30,91,291.2326,-200.2326
1981-07-31,93,291.2326,-198.2326
1981-08-01,136,291.2326,-155.2326
1981-08-02,174,291.2326,-117.2326
1981-08-03,168,291.2326,-123.2326
1981-08-04,134,291.2326,-157.2326
1981-08-05,91,291.2326,-200.2326
1981-08-06,85,418.01242,-333.01242
1981-08-07,86,335.15106,-249.15106
1981-08-08,86,291.32574,-205.32574
