,discharge,datetime
189,3284.6477,1901-07-09
190,2927.3552,1901-07-10
191,2702.4368,1901-07-11
192,2471.3577,1901-07-12
193,2243.857,1901-07-13
194,2105.5193,1901-07-14
195,1952.3898,1901-07-15
196,1915.9434,1901-07-16
197,1859.4889,1901-07-17
198,1797.9355,1901-07-18
199,1661.0604,1901-07-19
200,1668.4814,1901-07-20
201,1650.8579,1901-07-21
202,1638.1776,1901-07-22
203,1610.053,1901-07-23
204,1675.3337,1901-07-24
205,1696.4102,1901-07-25
206,1776.1805,1901-07-26
207,1869.9624,1901-07-27
208,1939.9016,1901-07-28
209,2066.1453,1901-07-29
210,2248.4482,1901-07-30
211,2394.1045,1901-07-31
212,2489.861,1901-08-01
213,2553.2087,1901-08-02
214,2688.1863,1901-08-03
215,2954.3562,1901-08-04
216,3257.725,1901-08-05
217,3648.9666,1901-08-06
218,4023.4097,1901-08-07
219,3812.8804,1901-08-08
220,3383.444,1901-08-09
221,2989.782,1901-08-10
222,2963.4167,1901-08-11
223,3770.46,1901-08-12
224,4235.9937,1901-08-13
225,4007.5715,1901-08-14
226,3659.6682,1901-08-15
227,3668.3774,1901-08-16
228,3821.3518,1901-08-17
229,3657.1382,1901-08-18
230,3313.1855,1901-08-19
231,2998.2568,1901-08-20
232,2768.3503,1901-08-21
233,2609.0671,1901-08-22
234,2497.0742,1901-08-23
235,2414.5671,1901-08-24
236,2334.9963,1901-08-25
237,2203.7488,1901-08-26
238,2236.5903,1901-08-27
239,2421.1777,1901-08-28
240,2824.391,1901-08-29
241,3266.6226,1901-08-30
242,3365.192,1901-08-31
243,3190.3394,1901-09-01
244,2920.4275,1901-09-02
245,2605.2056,1901-09-03
246,2411.7273,1901-09-04
247,2201.6733,1901-09-05
248,2112.9207,1901-09-06
249,2192.6184,1901-09-07
250,2515.5137,1901-09-08
251,3403.4297,1901-09-09
252,4617.89,1901-09-10
253,5693.7666,1901-09-11
254,6167.2295,1901-09-12
255,5858.982,1901-09-13
256,5149.1924,1901-09-14
257,4450.7017,1901-09-15
258,3857.639,1901-09-16
259,3409.0933,1901-09-17
260,3079.4797,1901-09-18
261,2820.6257,1901-09-19
262,2652.8423,1901-09-20
263,2545.4336,1901-09-21
264,2582.7268,1901-09-22
265,2669.6704,1901-09-23
266,2600.0264,1901-09-24
267,2612.5845,1901-09-25
268,2725.3804,1901-09-26
269,2756.27,1901-09-27
270,2759.2363,1901-09-28
271,2728.4695,1901-09-29
272,2661.2317,1901-09-30
273,2561.36,1901-10-01
274,2424.8586,1901-10-02
275,2285.739,1901-10-03
276,2144.5989,1901-10-04
277,2108.1033,1901-10-05
278,2341.3625,1901-10-06
279,3019.5828,1901-10-07
280,3496.903,1901-10-08
281,4156.328,1901-10-09
282,4816.6157,1901-10-10
283,4827.36,1901-10-11
284,4379.9473,1901-10-12
285,3892.1592,1901-10-13
286,3512.2856,1901-10-14
287,3225.4744,1901-10-15
