,discharge,datetime
216,2419.4883,1901-08-05
217,2831.7668,1901-08-06
218,3239.1255,1901-08-07
219,3128.2842,1901-08-08
220,2783.5942,1901-08-09
221,2426.0964,1901-08-10
222,2360.588,1901-08-11
223,2989.153,1901-08-12
224,3391.0425,1901-08-13
225,3273.3057,1901-08-14
226,3041.1147,1901-08-15
227,3091.8318,1901-08-16
228,3276.3157,1901-08-17
229,3163.334,1901-08-18
230,2854.339,1901-08-19
231,2551.8562,1901-08-20
232,2325.327,1901-08-21
233,2167.758,1901-08-22
234,2057.5076,1901-08-23
235,1978.0328,1901-08-24
236,1917.2052,1901-08-25
237,1889.7983,1901-08-26
238,1987.8306,1901-08-27
239,2158.3682,1901-08-28
240,2569.818,1901-08-29
241,2920.9297,1901-08-30
242,2973.0234,1901-08-31
243,2796.7405,1901-09-01
244,2507.517,1901-09-02
245,2287.1782,1901-09-03
246,2108.6736,1901-09-04
247,1974.9004,1901-09-05
248,1940.5566,1901-09-06
249,1972.0477,1901-09-07
250,2291.276,1901-09-08
251,3118.424,1901-09-09
252,4302.7065,1901-09-10
253,5360.093,1901-09-11
254,5847.423,1901-09-12
255,5588.1973,1901-09-13
256,4911.887,1901-09-14
257,4239.6743,1901-09-15
258,3681.521,1901-09-16
259,3266.4658,1901-09-17
260,2952.4597,1901-09-18
261,2689.5215,1901-09-19
262,2514.3328,1901-09-20
263,2403.648,1901-09-21
264,2437.469,1901-09-22
265,2528.4746,1901-09-23
266,2465.7427,1901-09-24
267,2486.3452,1901-09-25
268,2635.8052,1901-09-26
269,2714.551,1901-09-27
270,2737.9312,1901-09-28
271,2687.1362,1901-09-29
272,2585.311,1901-09-30
273,2472.6892,1901-10-01
274,2369.4102,1901-10-02
275,2302.953,1901-10-03
276,2247.0496,1901-10-04
277,2283.2063,1901-10-05
278,2548.7751,1901-10-06
279,3178.886,1901-10-07
280,3535.4163,1901-10-08
281,4057.4321,1901-10-09
282,4583.137,1901-10-10
283,4590.2876,1901-10-11
284,4231.043,1901-10-12
285,3824.041,1901-10-13
286,3497.2083,1901-10-14
287,3242.0325,1901-10-15
288,3042.541,1901-10-16
289,2901.349,1901-10-17
290,2811.857,1901-10-18
291,2814.4329,1901-10-19
292,2808.803,1901-10-20
293,2760.1436,1901-10-21
294,2767.972,1901-10-22
295,2750.3423,1901-10-23
296,2790.491,1901-10-24
297,2886.3315,1901-10-25
298,2958.2688,1901-10-26
299,2954.7278,1901-10-27
300,2872.8523,1901-10-28
301,2786.9602,1901-10-29
302,2706.9146,1901-10-30
303,2590.8325,1901-10-31
304,2447.8237,1901-11-01
305,2317.8462,1901-11-02
306,2211.8303,1901-11-03
307,2128.6606,1901-11-04
308,2061.4954,1901-11-05
309,2003.746,1901-11-06
310,1950.8367,1901-11-07
311,1900.0071,1901-11-08
312,1850.4811,1901-11-09
313,1802.7748,1901-11-10
314,1770.0013,1901-11-11
315,1747.2402,1901-11-12
316,1729.9025,1901-11-13
317,1682.9512,1901-11-14
318,1623.2661,1901-11-15
319,1565.98,1901-11-16
320,1517.9672,1901-11-17
321,1501.4954,1901-11-18
322,1583.4722,1901-11-19
323,1724.8785,1901-11-20
324,1803.0692,1901-11-21
325,1805.2202,1901-11-22
326,1757.283,1901-11-23
327,1703.7639,1901-11-24
328,1650.126,1901-11-25
329,1598.4132,1901-11-26
330,1548.3696,1901-11-27
331,1499.463,1901-11-28
332,1460.4705,1901-11-29
333,1440.2919,1901-11-30
334,1427.3936,1901-12-01
335,1395.2723,1901-12-02
336,1378.7457,1901-12-03
